Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
407,7727813770,"ООО ""СУ-111""",МОСКВА,Малое предприятие,"117628, МОСКВА, СТАРОБИТЦЕВСКАЯ, 15, 1, 3/1",1542.342,89.035,122.264,5.772714482261392,55.5749788,37.5828029,"55.574979,37.582803",address
408,7722752281,"ООО ""КОМПАНИЯ РЕНОВЕЛЬ""",МОСКВА,Малое предприятие,"125167, МОСКВА, ВИКТОРЕНКО, 9, 1, 15",977.763,88.884,117.037,9.090546482122969,55.7947949,37.5283067,"55.794795,37.528307",address
409,5408229117,"ООО ""РОСТ БИЛД""",НОВОСИБИРСКАЯ,Малое предприятие,"630005, НОВОСИБИРСКАЯ, НОВОСИБИРСК, НИКОЛАЯ ОСТРОВСКОГО, 49, 101",996.876,88.363,110.815,8.863991108222086,55.0519137,82.9332096,"55.051914,82.93321",address
410,1646031380,"ООО ""КАМА-СЕРВИС""",ТАТАРСТАН,Малое предприятие,"423602, ТАТАРСТАН, ЕЛАБУЖСКИЙ, ЕЛАБУГА, ЧАПАЕВА, 55",136.513,88.308,,64.68834469977219,55.75709118571428,52.006956114285714,"55.757091,52.006956",address
411,6501181648,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""САХИНСТРОЙ""",САХАЛИНСКАЯ,Малое предприятие,"693004, САХАЛИНСКАЯ, ЮЖНО-САХАЛИНСК, ИМЕНИ И.П. ФАРХУТДИНОВА, 10Б, 1, 2",1687.224,88.241,113.341,5.229951683949493,46.9574273,142.727438,"46.957427,142.727438",city_or_region
412,1435246770,"ООО ""СТРОЙ-В""",САХА (ЯКУТИЯ),Малое предприятие,"677000, САХА (ЯКУТИЯ), ЯКУТСК, ПОЯРКОВА, 19, 56",271.363,87.68,,32.310963543298094,62.0350367,129.7328476,"62.035037,129.732848",address
413,2623802415,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ДИАЛОГ-СТРОЙ""",СТАВРОПОЛЬСКИЙ,Малое предприятие,"356245, СТАВРОПОЛЬСКИЙ, ШПАКОВСКИЙ, МИХАЙЛОВСК, НЕКРАСОВА, 20, 35",264.455,87.032,100.561,32.90994687186856,45.1333806,41.9959906,"45.133381,41.995991",address
414,8602264527,"ООО ""СИБСПЕЦАВТОМАТИКА""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Малое предприятие,"628422, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, СУРГУТ, ТРУБНАЯ, 10/1",633.497,86.731,100.948,13.690830422243517,61.3414657,73.405212,"61.341466,73.405212",address
415,9102056626,"ООО ""МОНОЛИТ-БЕТОН""",КРЫМ,Среднее предприятие,"295013, КРЫМ, СИМФЕРОПОЛЬ, СЕВАСТОПОЛЬСКАЯ, 43Б",5824.886,86.552,166.839,1.4859003249162301,44.9289572,34.0830238,"44.928957,34.083024",address
416,4823003533,"ООО "" ПОЛИТЕХНИК - М""",ЛИПЕЦКАЯ,Малое предприятие,"398005, ЛИПЕЦКАЯ, ЛИПЕЦК, АЛМАЗНАЯ, 12",377.468,86.526,,22.922737821484205,52.5671859,39.6607833,"52.567186,39.660783",address
417,6829001720,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ТАМБОВПРОМСТРОЙХОЛДИНГ""",ТАМБОВСКАЯ,Малое предприятие,"392029, ТАМБОВСКАЯ, ТАМБОВ, БАСТИОННАЯ, 29",352.199,86.331,94.107,24.511994639394207,52.7349116,41.3802124,"52.734912,41.380212",address
418,8905050436,"ООО ""МРС""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629601, ЯМАЛО-НЕНЕЦКИЙ, МУРАВЛЕНКО, ЯМАЛЬСКАЯ, 26, 3",589.581,86.273,,14.63293423634751,63.7941543,74.5329335,"63.794154,74.532934",address
419,5406989257,"ООО ""РАЙДЕКС""",МОСКВА,Малое предприятие,"123022, МОСКВА, КРАСНАЯ ПРЕСНЯ, 24, 2 ПОМ I КОМ 29",1136.67,86.151,145.183,7.57924463564623,55.625578,37.6063916,"55.625578,37.606392",city_or_region
420,6950216009,"ООО  ""ТЕХСТРОЙ""",ТВЕРСКАЯ,Малое предприятие,"170033, ТВЕРСКАЯ, ТВЕРЬ, ЦАНОВА, 1Б, XVIIIВ ОФИС 309",602.196,85.945,,14.271931397750897,56.8596713,35.8952416,"56.859671,35.895242",city_or_region
421,7743744940,"ООО ""АЦИС КОНСТРАКШН""",МОСКВА,Малое предприятие,"123592, МОСКВА, КУЛАКОВА, 20, 1А",2634.354,85.88,109.464,3.260002262414239,55.80431,37.3909013,"55.80431,37.390901",address
422,4027121634,"ООО ""СТРОЙРЕГИОН""",КАЛУЖСКАЯ,Малое предприятие,"248001, КАЛУЖСКАЯ, КАЛУГА, КИРОВА, 59, 1, ОФИС 43",35.956,85.664,49.311,238.2467460229169,54.5130912,36.2702062,"54.513091,36.270206",address
423,6141042798,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТРОЙГАРАНТ""",РОСТОВСКАЯ,Малое предприятие,"346885, РОСТОВСКАЯ, БАТАЙСК, СЕВЕРНАЯ ЗВЕЗДА, 7, 2, 11",267.836,85.392,60.141,31.882196568049103,47.1574033,39.7457265,"47.157403,39.745726",address
424,1651067141,"ООО ""ВЭМ""",ТАТАРСТАН,Среднее предприятие,"423578, ТАТАРСТАН, НИЖНЕКАМСКИЙ, НИЖНЕКАМСК, ХИМИКОВ, 45А, 1009",459.381,85.279,117.838,18.563893587240223,55.6280664,51.8015811,"55.628066,51.801581",address
425,6163073704,"ООО ""СТРОЙ-ИНЖИНИРИНГ""",РОСТОВСКАЯ,Малое предприятие,"344000, РОСТОВСКАЯ, РОСТОВ-НА-ДОНУ, МАКСИМА ГОРЬКОГО, 183, 5",1037.669,85.239,113.991,8.214469161167964,47.2286172,39.7210464,"47.228617,39.721046",address
426,1327022163,"ООО ""СТРОЙЭНЕРГОКОМПЛЕКТ""",МОСКВА,Малое предприятие,"107023, МОСКВА, ЭЛЕКТРОЗАВОДСКАЯ, 24, 1",2628.332,85.129,109.575,3.2388982822565797,55.7889129,37.7076559,"55.788913,37.707656",address
427,7413014488,"ООО ""СТРОИТЕЛЬПЛЮС""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"456871, ЧЕЛЯБИНСКАЯ, КЫШТЫМ, КРАСНОЙ ЗВЕЗДЫ, 107",154.796,84.894,,54.84250239024264,55.6979111,60.5585879,"55.697911,60.558588",address
428,5022035172,"ЗАО ""ЭТАЛОНСТРОЙ""",МОСКОВСКАЯ,Малое предприятие,"140479, МОСКОВСКАЯ, КОЛОМНА, ПИРОЧИ, 1",556.288,84.629,117.318,15.213162965945697,55.0747169,38.9563821,"55.074717,38.956382",address
429,2361014453,"ООО ""СЗ ЖК НА КРАСНОЙ""",КРАСНОДАРСКИЙ,Малое предприятие,"353680, КРАСНОДАРСКИЙ, ЕЙСКИЙ, ЕЙСК, АРМАВИРСКАЯ, 45/6, 44",485.679,84.328,118.186,17.362908423053085,46.7033824,38.2839164,"46.703382,38.283916",address
430,2723090480,"ООО ""ЭНЕРГИЯ""",ХАБАРОВСКИЙ,Малое предприятие,"680017, ХАБАРОВСКИЙ, ХАБАРОВСК, МУХИНА, 23, 29",346.162,84.105,,24.296427684147883,48.4788062,135.0808965,"48.478806,135.080896",address
431,7716850996,"ООО ""АЛЬФА КОНСТРАКТ""",МОСКВА,Малое предприятие,"124489, МОСКВА, ЗЕЛЕНОГРАД, СОСНОВАЯ, 4, 2",2284.645,83.882,132.375,3.671555099369924,55.9807955,37.2493872,"55.980796,37.249387",address
432,2311251829,"ООО ""СЗ ""КСК""",КРАСНОДАРСКИЙ,Малое предприятие,"350087, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. ЕВГЕНИИ ЖИГУЛЕНКО, 9, 160",432.947,83.82,16.597,19.360337408504968,45.0979064,39.0060968,"45.097906,39.006097",address
433,9718070956,"ООО ""МОНТАЖСТРОЙ ТТ""",МОСКВА,Малое предприятие,"107113, МОСКВА, МАЛЕНКОВСКАЯ, 32, 3, 1",307.473,83.621,,27.196209098034625,55.7863647,37.6746293,"55.786365,37.674629",address
434,7721620684,"ООО ""СТРОЙЦЕНТРАЛЬ""",МОСКОВСКАЯ,Среднее предприятие,"140415, МОСКОВСКАЯ, КОЛОМНА, ПОЛЯНСКАЯ, 17, ПОМ.108",3604.223,83.48,96.772,2.316171890585016,55.0995509,38.7811165,"55.099551,38.781116",address
435,2130103748,"ООО ""ПРЕМИУМ СТРОЙ 21""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Малое предприятие,"428022, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МАРПОСАДСКОЕ, 7 В, 1",892.531,82.859,,9.283599113084028,56.0984586,47.268959,"56.098459,47.268959",city_or_region
436,7704352065,"ООО ""МОСПРОМСТРОЙИНЖИНИРИНГ-2""",МОСКВА,Малое предприятие,"119034, МОСКВА, ТИМУРА ФРУНЗЕ, 20",482.443,82.853,106.329,17.173635020095638,55.7351863,37.5892186,"55.735186,37.589219",address
437,7743307059,"ООО ""ЮГСТРОЙ""",МОСКВА,Малое предприятие,"125130, МОСКВА, ЗОИ И АЛЕКСАНДРА КОСМОДЕМЬЯНСКИХ, 27, 9",1148.206,82.392,112.013,7.175715855865585,55.8210931,37.5116152,"55.821093,37.511615",address
438,7813637110,"ООО ""СК ""МОНОЛИТ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"197198, САНКТ-ПЕТЕРБУРГ, РОПШИНСКАЯ, 1/32, А, 8Н/19Н",658.78,82.38,,12.504933361668538,59.9575247,30.2982193,"59.957525,30.298219",address
439,2801016951,"АО ""СК №1""",АМУРСКАЯ,Среднее предприятие,"675004, АМУРСКАЯ, БЛАГОВЕЩЕНСК, СВ.ИННОКЕНТИЯ, 1",2193.986,82.367,115.568,3.754217210137166,50.2591255,127.5246679,"50.259126,127.524668",address
440,7710940499,"ООО ""ВСМ""",МОСКВА,Малое предприятие,"119034, МОСКВА, ОСТОЖЕНКА, 19, 1, 3 ПОМ 18",330.686,82.32,93.671,24.89370581155537,55.625578,37.6063916,"55.625578,37.606392",city_or_region
441,5254490911,"ООО ""СТРОЙИНЖИНИРИНГ""",МОРДОВИЯ,Малое предприятие,"430005, МОРДОВИЯ, САРАНСК, СОВЕТСКАЯ, 47, 3",121.067,81.841,,67.59975881123675,54.1812179,45.1827325,"54.181218,45.182732",address
442,7805512935,"ООО ""БАЛТТЕХСТРОЙ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"198328, САНКТ-ПЕТЕРБУРГ, БРЕСТСКИЙ, 8, А, 8-Н",959.117,81.751,123.414,8.523569074471624,59.8768317,30.4429637,"59.876832,30.442964",address
443,2224098998,"ООО ПСФ ""ИНЖЕНЕРСТРОЙ""",АЛТАЙСКИЙ,Малое предприятие,"656910, АЛТАЙСКИЙ, БАРНАУЛ, НАУЧНЫЙ ГОРОДОК, 1 А",66.615,81.586,,122.47391728589656,53.4192309,83.532719,"53.419231,83.532719",address
444,3662258085,"ООО ""СТРОЙКОМПЛЕКС""",ВОРОНЕЖСКАЯ,Малое предприятие,"394026, ВОРОНЕЖСКАЯ, ВОРОНЕЖ, КРАСНОДОНСКАЯ, 18В, 1",199.925,81.565,,40.79779917469051,51.6855556,39.157067,"51.685556,39.157067",address
445,6671376130,"ООО ""СТАНДАРТ СТРОЙ""",СВЕРДЛОВСКАЯ,Малое предприятие,"620026, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, КУЙБЫШЕВА, 38, 137",1252.255,81.507,93.839,6.50881809216174,56.8288544,60.6193387,"56.828854,60.619339",address
446,5262283965,"ООО ""МИИМФ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603009, НИЖЕГОРОДСКАЯ, Нижний Новгород, ГАГАРИНА, 166, 314",1218.045,81.435,97.101,6.685713582010516,56.2535363,43.9707853,"56.253536,43.970785",address
447,7901542812,"ООО ""СТРОЙКОМ""",КОМИ,Среднее предприятие,"167004, КОМИ, СЫКТЫВКАР, ПУШКИНА, 59, 143",1308.854,81.404,,6.219486665434036,61.6455257,50.8208228,"61.645526,50.820823",address
448,5405442239,"ООО ""СК АНИС""",НОВОСИБИРСКАЯ,Малое предприятие,"630089, НОВОСИБИРСКАЯ, НОВОСИБИРСК, БОРИСА БОГАТКОВА, 210/1, 603",375.504,81.044,,21.582726149388556,55.041395,82.983824,"55.041395,82.983824",address
449,7715984348,"ООО ""ХОРОС""",МОСКВА,Малое предприятие,"115419, МОСКВА, 2-Й РОЩИНСКИЙ, 8, 2, М ПОМ XI КОМ 14",2028.32,80.763,103.033,3.981768162814546,55.625578,37.6063916,"55.625578,37.606392",city_or_region
450,7456032435,"ООО ""АЛЬПИНДУСТРИЯ""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"455023, ЧЕЛЯБИНСКАЯ, МАГНИТОГОРСК, ОКТЯБРЬСКАЯ, 19, 1А",322.078,80.732,,25.06597780661827,53.415935,58.9947807,"53.415935,58.994781",address
451,5904257376,"ООО ""СК АТРИУМ""",ПЕРМСКИЙ,Малое предприятие,"614111, ПЕРМСКИЙ, ПЕРМЬ, СОЛДАТОВА, 36, 83",301.537,80.708,,26.765537894188775,57.9736732,56.2375223,"57.973673,56.237522",address
452,5408290827,"ООО КОРПОРАЦИЯ ""СБГ""",НОВОСИБИРСКАЯ,Малое предприятие,"630073, НОВОСИБИРСКАЯ, НОВОСИБИРСК, КАРЛА МАРКСА, 57, 9",1396.662,80.631,79.049,5.7731219149658255,54.9924633,82.9113612,"54.992463,82.911361",address
453,5507221366,"ООО ""ДОМСТРОЙ-97""",ОМСКАЯ,Малое предприятие,"644015, ОМСКАЯ, ОМСК, 12 ДЕКАБРЯ, 56",164.04,80.329,,48.969153864911,54.9407623,73.3448423,"54.940762,73.344842",address
454,5905269230,"ООО ""ГЛОБАЛИНВЕСТРОЙ""",ПЕРМСКИЙ,Среднее предприятие,"614500, ПЕРМСКИЙ, ПЕРМЬ, ВЕРХНЕ-МУЛЛИНСКАЯ, 74, 206",1111.014,80.209,58.795,7.219440979141576,57.9668319,56.1195256,"57.966832,56.119526",address
455,1328002794,"ООО ""ПСК ""МАГО-СТРОЙ""",МОРДОВИЯ,Малое предприятие,"430031, МОРДОВИЯ, САРАНСК, УХТОМСКОГО, 47, 1",107.114,80.199,,74.8725656776892,54.1890487,45.2457579,"54.189049,45.245758",address
456,7716706992,"ООО ""ЕНГО""",МОСКВА,Малое предприятие,"129343, МОСКВА, НАНСЕНА, 1",1058.93,79.947,97.508,7.5497908265891045,55.8484996,37.6528515,"55.8485,37.652852",address
457,7724745755,"АО ""АРСЕНАЛ""",МОСКВА,Среднее предприятие,"127566, МОСКВА, АЛТУФЬЕВСКОЕ, 48К1, 9 ПОМ I ОФ 901",1384.301,79.896,99.03,5.771577135319558,55.625578,37.6063916,"55.625578,37.606392",city_or_region
458,7205013363,"ООО ""ДЮНА""",ОМСКАЯ,Малое предприятие,"644042, ОМСКАЯ, ОМСК, КАРЛА МАРКСА, 36, 1, 5",341.24,79.865,,23.40434884538741,54.9589603,73.3860105,"54.95896,73.38601",address
459,3817024117,"ООО ""ИСК""",ИРКУТСКАЯ,Среднее предприятие,"666684, ИРКУТСКАЯ, УСТЬ-ИЛИМСК, 020102/153",337.012,79.75,69.521,23.663845797775746,57.9388562,102.7374626,"57.938856,102.737463",address
460,3435309618,"ООО ""СОЛЯРИС""",ВОЛГОГРАДСКАЯ,Малое предприятие,"404110, ВОЛГОГРАДСКАЯ, ВОЛЖСКИЙ, МОЛОДЕЖНАЯ, 17, 1",315.707,78.709,,24.93102782009902,48.7931476,44.7521768,"48.793148,44.752177",address
461,3906302165,"ООО ""СПРИНТ""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236039, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ЭПРОНОВСКАЯ, 12, 1",14.263,78.708,0.955,551.8334151300568,54.7022567,20.5137193,"54.702257,20.513719",address
462,4345364782,"ООО ""СМУ-12""",КИРОВСКАЯ,Малое предприятие,"610014, КИРОВСКАЯ, КИРОВ, НЕКРАСОВА, 73",210.003,78.678,,37.46517906887045,58.5828199,49.6128777,"58.58282,49.612878",address
463,2721197290,"ООО ""СТРОЙГРЕЙД""",ХАБАРОВСКИЙ,Малое предприятие,"680052, ХАБАРОВСКИЙ, ХАБАРОВСК, ГОРЬКОГО, 60",1115.941,78.528,,7.036931163923541,48.4536909,135.1861384,"48.453691,135.186138",address
464,6311092799,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВЕЛИКРАН-ИНВЕСТ""",САМАРСКАЯ,Малое предприятие,"443001, САМАРСКАЯ, САМАРА, ЛЕНИНСКАЯ, 215, 201/3",58.022,78.402,-0.107,135.12460790734548,53.1991765,50.1175822,"53.199176,50.117582",address
465,7803050192,"ООО ""УК ""КРЕДО""",ЛЕНИНГРАДСКАЯ,Среднее предприятие,"188669, ЛЕНИНГРАДСКАЯ, ВСЕВОЛОЖСКИЙ, МУРИНО, ЦЕНТРАЛЬНАЯ, 46, №32 (К №118)",605.941,78.159,2.971,12.898780574346347,60.046193,30.4458901,"60.046193,30.44589",city_or_region
466,9103002856,"ООО ""СК ""ДЕЛЬТА""",КРЫМ,Малое предприятие,"295014, КРЫМ, СИМФЕРОПОЛЬ, МРАМОРНАЯ, 3",2813.68,78.09,90.474,2.7753689118876346,44.9640763,34.0780036,"44.964076,34.078004",address
467,2902070169,"ООО ""СТРОЙ ЦЕНТР""",АРХАНГЕЛЬСКАЯ,Малое предприятие,"164512, АРХАНГЕЛЬСКАЯ, СЕВЕРОДВИНСК, АРХАНГЕЛЬСКОЕ, 65",1255.32,77.813,77.186,6.198658509384061,64.5638799,39.785989,"64.56388,39.785989",address
468,3120100228,"ООО ""МАКССТРОЙ""",БЕЛГОРОДСКАЯ,Малое предприятие,"309292, БЕЛГОРОДСКАЯ, ШЕБЕКИНО, ЛЕНИНА, 91А",734.644,77.801,122.43,10.590299519222917,50.3906302,36.8778188,"50.39063,36.877819",address
469,5260208112,"ООО СЗ ""СМ-ФИНАНС""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603105, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ГЕНКИНОЙ, 25 А, П52 КАБИНЕТ 23",915.354,77.704,286.509,8.488956185257289,56.3264816,44.0051395,"56.326482,44.00514",city_or_region
470,7703400936,"ООО ""АЙКОН ГРУПП""",МОСКВА,Малое предприятие,"121614, МОСКВА, КРЫЛАТСКАЯ, 33, 2, 2/1",732.143,77.669,92.853,10.608446710546984,55.770352,37.4077795,"55.770352,37.40778",address
471,5405442616,"ООО ПСК ""СПМ""",НОВОСИБИРСКАЯ,Среднее предприятие,"630024, НОВОСИБИРСКАЯ, Новосибирск, БЕТОННАЯ, 10",1505.341,77.438,85.563,5.144216493140092,54.9611133,82.9158366,"54.961113,82.915837",address
472,5261026323,"ООО ""АТОМСТРОЙ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603107, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ЗАОВРАЖНАЯ, 6",2242.122,77.396,85.734,3.4519085045327595,56.2500172,43.9593351,"56.250017,43.959335",address
473,6658431487,"ООО ""УНИВЕРСАЛСЕРВИС-ЕК""",СВЕРДЛОВСКАЯ,Малое предприятие,"620028, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, КИРОВА, 28/43, КАБИНЕТ 303",274.237,77.354,,28.20698884541473,56.8382071,60.6007886,"56.838207,60.600789",city_or_region
474,5904996610,"ООО ""СТС""",ПЕРМСКИЙ,Среднее предприятие,"614077, ПЕРМСКИЙ, ПЕРМЬ, АРКАДИЯ ГАЙДАРА, 8Б, 603",289.408,77.266,,26.69794891640867,58.0018439,56.2958022,"58.001844,56.295802",address
475,7716687066,"ООО ""ГОРИЗОНТ""",МОСКВА,Малое предприятие,"105064, МОСКВА, НИЖНИЙ СУСАЛЬНЫЙ, 5, 19",1022.989,76.677,100.86,7.495388513463977,55.7593457,37.66597,"55.759346,37.66597",address
476,7723428577,"ООО ""ОРГРЭС""",МОСКОВСКАЯ,Малое предприятие,"143409, МОСКОВСКАЯ, КРАСНОГОРСК, УСПЕНСКАЯ, 4А, 2/215",151.142,76.577,,50.66559923780286,55.8288738,37.2975749,"55.828874,37.297575",address
477,5406616375,"ООО ""РЕМСТРОЙ""",НОВОСИБИРСКАЯ,Среднее предприятие,"630099, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ЯДРИНЦЕВСКАЯ, 73К1",381.2,76.498,,20.067681007345225,55.0329458,82.9272605,"55.032946,82.92726",address
478,7017326290,"ООО ""СИБСПЕЦСТРОЙ""",ТОМСКАЯ,Малое предприятие,"634009, ТОМСКАЯ, ТОМСК, НИЖНЕ-ЛУГОВАЯ, 87/5, 8",540.871,76.476,95.806,14.139415868109031,56.5190701,84.9256107,"56.51907,84.925611",address
479,6312134360,"АО ""СЗ ""КОШЕЛЕВ - ПРОЕКТ САМАРА""",КАЛУЖСКАЯ,Малое предприятие,"248039, КАЛУЖСКАЯ, КАЛУГА, БРАТЬЕВ ЛУКАНИНЫХ, 23, 1",605.477,76.102,118.363,12.568933254277207,54.5021681,36.1753329,"54.502168,36.175333",address
480,6166094692,"ООО ""РЕГИОН""",РОСТОВСКАЯ,Малое предприятие,"344009, РОСТОВСКАЯ, РОСТОВ-НА-ДОНУ, ШОЛОХОВА, 270/3",180.561,76.044,81.763,42.1154069815741,47.2594108,39.8077285,"47.259411,39.807728",address
481,7709051600,"АО ""НИТИС""",МОСКВА,Малое предприятие,"115432, МОСКВА, ТРОФИМОВА, 1/17, 39/1",468.003,75.886,84.368,16.214853323589807,55.7036085,37.6618846,"55.703608,37.661885",address
482,7814544002,"ООО ""РЕМАРК""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"199155, САНКТ-ПЕТЕРБУРГ, УРАЛЬСКАЯ, 19, 10, 1-Н, КОМ. 43",437.686,75.756,,17.308298643319638,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
483,7707635248,"ООО ""ВО ""ТВОРЧЕСКИЕ МАСТЕРСКИЕ""",МОСКВА,Малое предприятие,"127030, МОСКВА, НОВОСЛОБОДСКАЯ, 20",7.946,75.669,,952.2904606091115,55.7804125,37.5996357,"55.780412,37.599636",address
484,2801202330,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СОДРУЖЕСТВО""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"194100, САНКТ-ПЕТЕРБУРГ, БОЛЬШОЙ САМПСОНИЕВСКИЙ, 77, 1, 68",207.333,75.493,99.408,36.41147333034297,59.9864807,30.3351961,"59.986481,30.335196",address
485,5029171030,"ООО ""МОНОЛИТ-ИНЖИНИРИНГ""",МОСКОВСКАЯ,Малое предприятие,"141006, МОСКОВСКАЯ, МЫТИЩИ, МЫТИЩИ, ОЛИМПИЙСКИЙ, 48, ОФИС 32",116.185,75.467,,64.95416792184876,55.9338994,37.7533522,"55.933899,37.753352",address
486,1655211533,"ООО ""АПЕКС""",ТАТАРСТАН,Среднее предприятие,"420111, ТАТАРСТАН, КАЗАНЬ, КАРЛА ФУКСА, 11/6, ОФИС 16",5934.378,75.299,130.075,1.268860864609568,55.7946485,49.1115022,"55.794648,49.111502",city_or_region
487,7716067312,"ООО ""СМК ""ЭСТЕРА""",МОСКВА,Малое предприятие,"129323, МОСКВА, СЕРЕБРЯКОВА, 11, 1, 1 ПОМ XXII",642.551,75.251,,11.711288286844157,55.8486098,37.6514526,"55.84861,37.651453",address
488,4202051862,"ООО ""МАСТЕР-СТРОЙ""",КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС,Малое предприятие,"652600, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, БЕЛОВО, ОКТЯБРЬСКАЯ, 15А, 26",530.143,75.234,99.575,14.191265375568479,54.438943,86.3011858,"54.438943,86.301186",city_or_region
489,3906084559,"ООО ""РЕКСТРОЙ""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236016, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ГЕНЕРАЛ-МАЙОРА ЯНОВСКОГО, 7",83.591,75.201,70.535,89.96303429795074,54.7143475,20.5314526,"54.714348,20.531453",address
490,1435301012,"ООО ""ПК ""ДСА""",САХА (ЯКУТИЯ),Малое предприятие,"677008, САХА (ЯКУТИЯ), ЯКУТСК, КУСТУК, 93/4",367.343,75.059,85.719,20.432946864374713,62.0096805,129.6222472,"62.00968,129.622247",address
491,7838086810,"ООО ""СК-СТРОЙ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"190000, САНКТ-ПЕТЕРБУРГ, ПИРОГОВА, 7, А, 4Н КОМ 37",591.147,74.943,,12.67755735882953,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
492,2315169420,"ООО ""ПРОФСТРОЙ-МПК""",КРАСНОДАРСКИЙ,Среднее предприятие,"353900, КРАСНОДАРСКИЙ, НОВОРОССИЙСК, МИРА, 12",1275.744,74.902,100.965,5.871240625078386,44.7186987,37.7810561,"44.718699,37.781056",address
493,9710027483,"ООО ""СОЛЕТАНШ""",МОСКВА,Малое предприятие,"119048, МОСКВА, КОМСОМОЛЬСКИЙ, 42, 3",1688.074,74.796,120.453,4.430848410673939,55.7214997,37.57242,"55.7215,37.57242",address
494,3662242938,"ООО СК ""ЗАРЕЧЬЕ""",ВОРОНЕЖСКАЯ,Малое предприятие,"394088, ВОРОНЕЖСКАЯ, ВОРОНЕЖ, ПОБЕДЫ, 50Б, 53Б",988.322,74.702,114.858,7.558467786814418,51.7124081,39.1469553,"51.712408,39.146955",address
495,2508003742,"ООО ""ХСО""",ПРИМОРСКИЙ,Малое предприятие,"692918, ПРИМОРСКИЙ, НАХОДКА, ЭНТУЗИАСТОВ, 15",270.266,74.624,,27.611316258796887,42.8391685,132.8816216,"42.839168,132.881622",address
496,7203372134,"ООО ГК ""РЕГИОН 72""",ТЮМЕНСКАЯ,Малое предприятие,"625013, ТЮМЕНСКАЯ, ТЮМЕНЬ, 50 ЛЕТ ОКТЯБРЯ, 120, 417",746.186,74.409,99.619,9.97191048880574,57.1316234,65.6068404,"57.131623,65.60684",address
497,6671163653,"ООО ""КОДЕКС""",СВЕРДЛОВСКАЯ,Малое предприятие,"620091, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, БАБУШКИНА, 5А, 252",155.628,74.247,,47.70799599043874,56.8832691,60.6260344,"56.883269,60.626034",address
498,0263009652,"ООО ""МАСТЕР - А""",БАШКОРТОСТАН,Малое предприятие,"453854, БАШКОРТОСТАН, МЕЛЕУЗОВСКИЙ, МЕЛЕУЗ, ОКТЯБРЬСКАЯ, 8А, 10",286.901,73.846,,25.739192264927624,52.9616535,55.9344773,"52.961654,55.934477",address
499,6230039620,"ООО ""МАРМАКС ИНЖИНИРИНГ""",РЯЗАНСКАЯ,Малое предприятие,"390000, РЯЗАНСКАЯ, РЯЗАНЬ, ПРАВО-ЛЫБЕДСКАЯ, 27, Н101",225.207,73.31,,32.5522741300226,54.6276312,39.7437396,"54.627631,39.74374",address
